Symbol,Date,Funding Rate
BTC-USDT,2021-01-01 03:00:00,0.00034729
BTC-USDT,2021-01-01 11:00:00,0.0001
BTC-USDT,2021-01-01 19:00:00,0.0001
BTC-USDT,2021-01-02 03:00:00,0.0006425
BTC-USDT,2021-01-02 11:00:00,0.00020649
BTC-USDT,2021-01-02 19:00:00,0.0001
BTC-USDT,2021-01-03 03:00:00,0.00073898
BTC-USDT,2021-01-03 11:00:00,0.00178299
BTC-USDT,2021-01-03 19:00:00,0.00189752
BTC-USDT,2021-01-04 03:00:00,0.00214106
BTC-USDT,2021-01-04 11:00:00,0.00162051
BTC-USDT,2021-01-04 19:00:00,0.00162248
BTC-USDT,2021-01-05 03:00:00,0.00058171
BTC-USDT,2021-01-05 11:00:00,0.00042043
BTC-USDT,2021-01-05 19:00:00,0.00060075
BTC-USDT,2021-01-06 03:00:00,0.0001
BTC-USDT,2021-01-06 11:00:00,0.00052376
BTC-USDT,2021-01-06 19:00:00,0.00140312
BTC-USDT,2021-01-07 03:00:00,0.00277443
BTC-USDT,2021-01-07 11:00:00,0.00287009
BTC-USDT,2021-01-07 19:00:00,0.00223631
BTC-USDT,2021-01-08 03:00:00,0.00197821
BTC-USDT,2021-01-08 11:00:00,0.00375
BTC-USDT,2021-01-08 19:00:00,0.00094676
BTC-USDT,2021-01-09 03:00:00,0.00106038
BTC-USDT,2021-01-09 11:00:00,0.00151246
BTC-USDT,2021-01-09 19:00:00,0.00174097
BTC-USDT,2021-01-10 03:00:00,0.00192295
BTC-USDT,2021-01-10 11:00:00,0.00175106
BTC-USDT,2021-01-10 19:00:00,0.00194279
BTC-USDT,2021-01-11 03:00:00,0.00127972
BTC-USDT,2021-01-11 11:00:00,0.00072864
BTC-USDT,2021-01-11 19:00:00,0.00067179
BTC-USDT,2021-01-12 03:00:00,0.00037454
BTC-USDT,2021-01-12 11:00:00,0.00010508
BTC-USDT,2021-01-12 19:00:00,0.0001
BTC-USDT,2021-01-13 03:00:00,0.00023274
BTC-USDT,2021-01-13 11:00:00,0.0001
BTC-USDT,2021-01-13 19:00:00,0.0001493
BTC-USDT,2021-01-14 03:00:00,0.00038693
BTC-USDT,2021-01-14 11:00:00,0.00093295
BTC-USDT,2021-01-14 19:00:00,0.00053564
BTC-USDT,2021-01-15 03:00:00,0.0005873
BTC-USDT,2021-01-15 11:00:00,0.00095543
BTC-USDT,2021-01-15 19:00:00,0.0009516
BTC-USDT,2021-01-16 03:00:00,0.00093019
BTC-USDT,2021-01-16 11:00:00,0.0001
BTC-USDT,2021-01-16 19:00:00,0.0001
BTC-USDT,2021-01-17 03:00:00,0.00037026
BTC-USDT,2021-01-17 11:00:00,0.0001
BTC-USDT,2021-01-17 19:00:00,0.00016663
BTC-USDT,2021-01-18 03:00:00,0.0001
BTC-USDT,2021-01-18 11:00:00,0.0001
BTC-USDT,2021-01-18 19:00:00,0.0001
BTC-USDT,2021-01-19 03:00:00,0.00042837
BTC-USDT,2021-01-19 11:00:00,0.00084101
BTC-USDT,2021-01-19 19:00:00,0.00178678
BTC-USDT,2021-01-20 03:00:00,0.00263702
BTC-USDT,2021-01-20 11:00:00,0.00201124
BTC-USDT,2021-01-20 19:00:00,0.00110786
BTC-USDT,2021-01-21 03:00:00,0.00016627
BTC-USDT,2021-01-21 11:00:00,0.0001
BTC-USDT,2021-01-21 19:00:00,0.0001
BTC-USDT,2021-01-22 03:00:00,0.0001
BTC-USDT,2021-01-22 11:00:00,0.00022298
BTC-USDT,2021-01-22 19:00:00,0.0001
BTC-USDT,2021-01-23 03:00:00,0.0001
BTC-USDT,2021-01-23 11:00:00,0.0001
BTC-USDT,2021-01-23 19:00:00,0.0001
BTC-USDT,2021-01-24 03:00:00,0.0001
BTC-USDT,2021-01-24 11:00:00,0.0001
BTC-USDT,2021-01-24 19:00:00,0.0001
BTC-USDT,2021-01-25 03:00:00,0.00018398
BTC-USDT,2021-01-25 11:00:00,0.0001
BTC-USDT,2021-01-25 19:00:00,0.0001
BTC-USDT,2021-01-26 03:00:00,0.0001
BTC-USDT,2021-01-26 11:00:00,0.00023613
BTC-USDT,2021-01-26 19:00:00,0.0001079
