Symbol,Date,Funding Rate
BTC-USDT,2022-01-01 00:00:00,0.0000058615
BTC-USDT,2022-01-01 01:00:00,0.0000401085
BTC-USDT,2022-01-01 02:00:00,0.0000104058
BTC-USDT,2022-01-01 03:00:00,0.0000109856
BTC-USDT,2022-01-01 04:00:00,0.0000164241
BTC-USDT,2022-01-01 05:00:00,0.0000136678
BTC-USDT,2022-01-01 06:00:00,0.0000194507
BTC-USDT,2022-01-01 07:00:00,0.0000275330
BTC-USDT,2022-01-01 08:00:00,0.0000323543
BTC-USDT,2022-01-01 09:00:00,0.0000361735
BTC-USDT,2022-01-01 10:00:00,0.0000132150
BTC-USDT,2022-01-01 11:00:00,0.0000220471
BTC-USDT,2022-01-01 12:00:00,0.0000427857
BTC-USDT,2022-01-01 13:00:00,0.0000251720
BTC-USDT,2022-01-01 14:00:00,0.0000118761
BTC-USDT,2022-01-01 15:00:00,0.0000125865
BTC-USDT,2022-01-01 16:00:00,0.0000153404
BTC-USDT,2022-01-01 17:00:00,-0.0000182208
BTC-USDT,2022-01-01 18:00:00,-0.0000112532
BTC-USDT,2022-01-01 19:00:00,0.0000073918
BTC-USDT,2022-01-01 20:00:00,0.0000118215
BTC-USDT,2022-01-01 21:00:00,-0.0000131698
BTC-USDT,2022-01-01 22:00:00,0.0000056514
BTC-USDT,2022-01-01 23:00:00,-0.0000130219
BTC-USDT,2022-01-02 00:00:00,-0.0000081924
BTC-USDT,2022-01-02 01:00:00,0.0000313005
BTC-USDT,2022-01-02 02:00:00,0.0000173397
BTC-USDT,2022-01-02 03:00:00,0.0000262901
BTC-USDT,2022-01-02 04:00:00,0.0000257073
BTC-USDT,2022-01-02 05:00:00,-0.0000033270
BTC-USDT,2022-01-02 06:00:00,0.0000051235
BTC-USDT,2022-01-02 07:00:00,0.0000064257
BTC-USDT,2022-01-02 08:00:00,0.0000015009
BTC-USDT,2022-01-02 09:00:00,0.0000101907
BTC-USDT,2022-01-02 10:00:00,0.0000028128
BTC-USDT,2022-01-02 11:00:00,-0.0000052805
BTC-USDT,2022-01-02 12:00:00,0.0000009187
BTC-USDT,2022-01-02 13:00:00,0.0000066622
BTC-USDT,2022-01-02 14:00:00,0.0000100477
BTC-USDT,2022-01-02 15:00:00,0.0000066968
BTC-USDT,2022-01-02 16:00:00,0.0000103201
BTC-USDT,2022-01-02 17:00:00,0.0000043047
BTC-USDT,2022-01-02 18:00:00,0.0000062290
BTC-USDT,2022-01-02 19:00:00,0.0000052033
BTC-USDT,2022-01-02 20:00:00,0.0000128423
