Symbol,Date,Funding Rate
BTC-USDT,2021-01-01 07:00:00,0.0001
BTC-USDT,2021-01-01 15:00:00,0.000296
BTC-USDT,2021-01-01 23:00:00,0.0001
BTC-USDT,2021-01-02 07:00:00,0.0001
BTC-USDT,2021-01-02 15:00:00,0.0001
BTC-USDT,2021-01-02 23:00:00,0.000814
BTC-USDT,2021-01-03 07:00:00,0.0001
BTC-USDT,2021-01-03 15:00:00,0.001256
BTC-USDT,2021-01-03 23:00:00,0.000942
BTC-USDT,2021-01-04 07:00:00,0.001065
BTC-USDT,2021-01-04 15:00:00,0.002614
BTC-USDT,2021-01-04 23:00:00,-0.000373
BTC-USDT,2021-01-05 07:00:00,0.000972
BTC-USDT,2021-01-05 15:00:00,0.0001
BTC-USDT,2021-01-05 23:00:00,0.000727
BTC-USDT,2021-01-06 07:00:00,0.000546
BTC-USDT,2021-01-06 15:00:00,0.002103
BTC-USDT,2021-01-06 23:00:00,0.000283
BTC-USDT,2021-01-07 07:00:00,0.001153
BTC-USDT,2021-01-07 15:00:00,0.00105
BTC-USDT,2021-01-07 23:00:00,0.000761
BTC-USDT,2021-01-08 07:00:00,0.00126
BTC-USDT,2021-01-08 15:00:00,0.000203
BTC-USDT,2021-01-08 23:00:00,0.000986
BTC-USDT,2021-01-09 07:00:00,0.0001
BTC-USDT,2021-01-09 15:00:00,0.000543
BTC-USDT,2021-01-09 23:00:00,0.000792
BTC-USDT,2021-01-10 07:00:00,0.001928
BTC-USDT,2021-01-10 15:00:00,0.0001
BTC-USDT,2021-01-10 23:00:00,0.000286
BTC-USDT,2021-01-11 07:00:00,0.0006
BTC-USDT,2021-01-11 15:00:00,0.000241
BTC-USDT,2021-01-11 23:00:00,0.000589
BTC-USDT,2021-01-12 07:00:00,0.0001
BTC-USDT,2021-01-12 15:00:00,0.000362
BTC-USDT,2021-01-12 23:00:00,0.0001
BTC-USDT,2021-01-13 07:00:00,0.0001
BTC-USDT,2021-01-13 15:00:00,0.000192
BTC-USDT,2021-01-13 23:00:00,0.000283
BTC-USDT,2021-01-14 07:00:00,0.000518
BTC-USDT,2021-01-14 15:00:00,0.000483
BTC-USDT,2021-01-14 23:00:00,0.0001
BTC-USDT,2021-01-15 07:00:00,0.000488
BTC-USDT,2021-01-15 15:00:00,0.00055
BTC-USDT,2021-01-15 23:00:00,0.000573
BTC-USDT,2021-01-16 07:00:00,0.0001
BTC-USDT,2021-01-16 15:00:00,0.000281
BTC-USDT,2021-01-16 23:00:00,0.000258
BTC-USDT,2021-01-17 07:00:00,0.000105
BTC-USDT,2021-01-17 15:00:00,0.0001
BTC-USDT,2021-01-17 23:00:00,0.0001
BTC-USDT,2021-01-18 07:00:00,0.000494
BTC-USDT,2021-01-18 15:00:00,0.000186
BTC-USDT,2021-01-18 23:00:00,0.001039
BTC-USDT,2021-01-19 07:00:00,0.000683
BTC-USDT,2021-01-19 15:00:00,0.001936
BTC-USDT,2021-01-19 23:00:00,0.000421
BTC-USDT,2021-01-20 07:00:00,0.000311
BTC-USDT,2021-01-20 15:00:00,0.0001
BTC-USDT,2021-01-20 23:00:00,0.0001
BTC-USDT,2021-01-21 07:00:00,0.000354
BTC-USDT,2021-01-21 15:00:00,0.000345
BTC-USDT,2021-01-21 23:00:00,0.000323
BTC-USDT,2021-01-22 07:00:00,0.0001
BTC-USDT,2021-01-22 15:00:00,0.0001
BTC-USDT,2021-01-22 23:00:00,0.0001
BTC-USDT,2021-01-23 07:00:00,0.0001
BTC-USDT,2021-01-23 15:00:00,0.00015
BTC-USDT,2021-01-23 23:00:00,0.0001
BTC-USDT,2021-01-24 07:00:00,0.0001
BTC-USDT,2021-01-24 15:00:00,0.000169
BTC-USDT,2021-01-24 23:00:00,0.000271
BTC-USDT,2021-01-25 07:00:00,0.0001
BTC-USDT,2021-01-25 15:00:00,0.000438
BTC-USDT,2021-01-25 23:00:00,0.0001
BTC-USDT,2021-01-26 07:00:00,0.0001
BTC-USDT,2021-01-26 15:00:00,0.0001
BTC-USDT,2021-01-26 23:00:00,0.0001
BTC-USDT,2021-01-27 07:00:00,0.0001
BTC-USDT,2021-01-27 15:00:00,0.0001
BTC-USDT,2021-01-27 23:00:00,0.0001
BTC-USDT,2021-01-28 07:00:00,0.0001
BTC-USDT,2021-01-28 15:00:00,0.000167
BTC-USDT,2021-01-28 23:00:00,0.0001
BTC-USDT,2021-01-29 07:00:00,0.0001
BTC-USDT,2021-01-29 15:00:00,0.001839
BTC-USDT,2021-01-29 23:00:00,0.00033
BTC-USDT,2021-01-30 07:00:00,0.000295
BTC-USDT,2021-01-30 15:00:00,0.0001
BTC-USDT,2021-01-30 23:00:00,0.000295
BTC-USDT,2021-01-31 07:00:00,0.000268
BTC-USDT,2021-01-31 15:00:00,0.0001
BTC-USDT,2021-01-31 23:00:00,0.000201
BTC-USDT,2021-02-01 07:00:00,0.0001
BTC-USDT,2021-02-01 15:00:00,0.000111
BTC-USDT,2021-02-01 23:00:00,0.00043
BTC-USDT,2021-02-02 07:00:00,0.000208
BTC-USDT,2021-02-02 15:00:00,0.000878
BTC-USDT,2021-02-02 23:00:00,0.00083
BTC-USDT,2021-02-03 07:00:00,0.000133
BTC-USDT,2021-02-03 15:00:00,0.001327
BTC-USDT,2021-02-03 23:00:00,0.0001
BTC-USDT,2021-02-04 07:00:00,0.000171
BTC-USDT,2021-02-04 15:00:00,0.000953
BTC-USDT,2021-02-04 23:00:00,0.0001
BTC-USDT,2021-02-05 07:00:00,0.000654
BTC-USDT,2021-02-05 15:00:00,0.000537
BTC-USDT,2021-02-05 23:00:00,0.00054
BTC-USDT,2021-02-06 07:00:00,0.0001
BTC-USDT,2021-02-06 15:00:00,0.0001
BTC-USDT,2021-02-06 23:00:00,0.00025
BTC-USDT,2021-02-07 07:00:00,0.001355
BTC-USDT,2021-02-07 15:00:00,0.0001
BTC-USDT,2021-02-07 23:00:00,0.00105
BTC-USDT,2021-02-08 07:00:00,0.000268
BTC-USDT,2021-02-08 15:00:00,0.000717
BTC-USDT,2021-02-08 23:00:00,0.001773
BTC-USDT,2021-02-09 07:00:00,0.000538
BTC-USDT,2021-02-09 15:00:00,0.00225
BTC-USDT,2021-02-09 23:00:00,0.0001
BTC-USDT,2021-02-10 07:00:00,0.001546
BTC-USDT,2021-02-10 15:00:00,0.00144
BTC-USDT,2021-02-10 23:00:00,0.000291
BTC-USDT,2021-02-11 07:00:00,0.00064
BTC-USDT,2021-02-11 15:00:00,0.000544
BTC-USDT,2021-02-11 23:00:00,0.001152
BTC-USDT,2021-02-12 07:00:00,0.000585
BTC-USDT,2021-02-12 15:00:00,0.000976
BTC-USDT,2021-02-12 23:00:00,0.00075
BTC-USDT,2021-02-13 07:00:00,0.001793
BTC-USDT,2021-02-13 15:00:00,0.000625
BTC-USDT,2021-02-13 23:00:00,0.00031
BTC-USDT,2021-02-14 07:00:00,0.000692
BTC-USDT,2021-02-14 15:00:00,0.001238
BTC-USDT,2021-02-14 23:00:00,0.0001
BTC-USDT,2021-02-15 07:00:00,0.000785
BTC-USDT,2021-02-15 15:00:00,0.0001
BTC-USDT,2021-02-15 23:00:00,0.000733
BTC-USDT,2021-02-16 07:00:00,0.000543
BTC-USDT,2021-02-16 15:00:00,0.001229
BTC-USDT,2021-02-16 23:00:00,0.000603
BTC-USDT,2021-02-17 07:00:00,0.000976
BTC-USDT,2021-02-17 15:00:00,0.000289
BTC-USDT,2021-02-17 23:00:00,0.0001
BTC-USDT,2021-02-18 07:00:00,0.0001
BTC-USDT,2021-02-18 15:00:00,0.000906
