Symbol,Date,Funding Rate
ETH-USDT,2020-01-01 03:00:00.000,0.00010000
ETH-USDT,2020-01-01 11:00:00.000,0.00007354
ETH-USDT,2020-01-01 19:00:00.000,-0.00016125
ETH-USDT,2020-01-02 03:00:00.002,0.00005047
ETH-USDT,2020-01-02 11:00:00.000,0.00010000
ETH-USDT,2020-01-02 19:00:00.000,0.00010000
ETH-USDT,2020-01-03 03:00:00.000,0.00010000
ETH-USDT,2020-01-03 11:00:00.000,0.00010000
ETH-USDT,2020-01-03 19:00:00.001,0.00010000
ETH-USDT,2020-01-04 03:00:00.000,0.00010000
ETH-USDT,2020-01-04 11:00:00.000,0.00010000
ETH-USDT,2020-01-04 19:00:00.000,0.00010000
ETH-USDT,2020-01-05 03:00:00.000,0.00010000
ETH-USDT,2020-01-05 11:00:00.000,0.00010000
ETH-USDT,2020-01-05 19:00:00.000,0.00010000
ETH-USDT,2020-01-06 03:00:00.000,0.00010000
ETH-USDT,2020-01-06 11:00:00.000,0.00010000
ETH-USDT,2020-01-06 19:00:00.000,0.00010000
ETH-USDT,2020-01-07 03:00:00.000,0.00010000
ETH-USDT,2020-01-07 11:00:00.001,0.00010000
ETH-USDT,2020-01-07 19:00:00.000,0.00010000
ETH-USDT,2020-01-08 03:00:00.000,0.00010000
ETH-USDT,2020-01-08 11:00:00.000,0.00010000
ETH-USDT,2020-01-08 19:00:00.001,0.00010000
ETH-USDT,2020-01-09 03:00:00.000,0.00010000
ETH-USDT,2020-01-09 11:00:00.000,0.00010000
ETH-USDT,2020-01-09 19:00:00.000,0.00010000
ETH-USDT,2020-01-10 03:00:00.000,0.00010000
ETH-USDT,2020-01-10 11:00:00.000,0.00010000
ETH-USDT,2020-01-10 19:00:00.000,0.00010000
ETH-USDT,2020-01-11 03:00:00.000,0.00010000
ETH-USDT,2020-01-11 11:00:00.000,0.00010000
ETH-USDT,2020-01-11 19:00:00.000,0.00010000
ETH-USDT,2020-01-12 03:00:00.000,0.00010000
ETH-USDT,2020-01-12 11:00:00.000,0.00010000
ETH-USDT,2020-01-12 19:00:00.000,0.00010000
ETH-USDT,2020-01-13 03:00:00.001,0.00010000
ETH-USDT,2020-01-13 11:00:00.000,0.00010000
ETH-USDT,2020-01-13 19:00:00.000,0.00010000
ETH-USDT,2020-01-14 03:00:00.000,0.00010000
ETH-USDT,2020-01-14 11:00:00.000,0.00010000
ETH-USDT,2020-01-14 19:00:00.001,0.00010000
ETH-USDT,2020-01-15 03:00:00.000,0.00011544
ETH-USDT,2020-01-15 11:00:00.000,0.00020223
ETH-USDT,2020-01-15 19:00:00.000,0.00031864
ETH-USDT,2020-01-16 03:00:00.000,0.00017165
ETH-USDT,2020-01-16 11:00:00.000,0.00038406
ETH-USDT,2020-01-16 19:00:00.000,0.00042240
ETH-USDT,2020-01-17 03:00:00.000,0.00018772
ETH-USDT,2020-01-17 11:00:00.000,0.00010000
ETH-USDT,2020-01-17 19:00:00.000,0.00020327
ETH-USDT,2020-01-18 03:00:00.001,0.00010000
ETH-USDT,2020-01-18 11:00:00.001,0.00010000
ETH-USDT,2020-01-18 19:00:00.000,0.00011014
ETH-USDT,2020-01-19 03:00:00.000,0.00044662
ETH-USDT,2020-01-19 11:00:00.000,0.00019851
ETH-USDT,2020-01-19 19:00:00.000,0.00023852
ETH-USDT,2020-01-20 03:00:00.000,0.00047503
ETH-USDT,2020-01-20 11:00:00.000,0.00054081
ETH-USDT,2020-01-20 19:00:00.000,0.00038562
ETH-USDT,2020-01-21 03:00:00.000,0.00021637
ETH-USDT,2020-01-21 11:00:00.000,0.00016823
ETH-USDT,2020-01-21 19:00:00.000,0.00018627
ETH-USDT,2020-01-22 03:00:00.000,0.00015350
ETH-USDT,2020-01-22 11:00:00.001,0.00010000
ETH-USDT,2020-01-22 19:00:00.000,0.00010000
ETH-USDT,2020-01-23 03:00:00.000,0.00010000
ETH-USDT,2020-01-23 11:00:00.000,0.00010000
ETH-USDT,2020-01-23 19:00:00.000,0.00021994
ETH-USDT,2020-01-24 03:00:00.000,0.00017114
ETH-USDT,2020-01-24 11:00:00.000,0.00017748
ETH-USDT,2020-01-24 19:00:00.001,0.00025923
ETH-USDT,2020-01-25 03:00:00.000,0.00010000
ETH-USDT,2020-01-25 11:00:00.000,0.00010000
ETH-USDT,2020-01-25 19:00:00.001,0.00027793
ETH-USDT,2020-01-26 03:00:00.000,0.00031959
ETH-USDT,2020-01-26 11:00:00.000,0.00026387
ETH-USDT,2020-01-26 19:00:00.000,0.00010000
ETH-USDT,2020-01-27 03:00:00.000,0.00010000
ETH-USDT,2020-01-27 11:00:00.001,0.00010000
ETH-USDT,2020-01-27 19:00:00.000,0.00010000
ETH-USDT,2020-01-28 03:00:00.000,0.00010167
ETH-USDT,2020-01-28 11:00:00.000,0.00049212
ETH-USDT,2020-01-28 19:00:00.000,0.00091788
ETH-USDT,2020-01-29 03:00:00.001,0.00122251
ETH-USDT,2020-01-29 11:00:00.000,0.00106130
ETH-USDT,2020-01-29 19:00:00.002,0.00055576
ETH-USDT,2020-01-30 03:00:00.000,0.00054882
ETH-USDT,2020-01-30 11:00:00.000,0.00049058
ETH-USDT,2020-01-30 19:00:00.000,0.00054951
ETH-USDT,2020-01-31 03:00:00.000,0.00082589
ETH-USDT,2020-01-31 11:00:00.000,0.00132017
