Symbol,Date,Funding Rate
ETH-USDT,2022-01-01 00:00:00,0.0000252879
ETH-USDT,2022-01-01 01:00:00,0.0000412980
ETH-USDT,2022-01-01 02:00:00,0.0000313349
ETH-USDT,2022-01-01 03:00:00,0.0000097198
ETH-USDT,2022-01-01 04:00:00,0.0000279054
ETH-USDT,2022-01-01 05:00:00,0.0000540160
ETH-USDT,2022-01-01 06:00:00,0.0000464545
ETH-USDT,2022-01-01 07:00:00,0.0000456756
ETH-USDT,2022-01-01 08:00:00,0.0000655929
ETH-USDT,2022-01-01 09:00:00,0.0000303460
ETH-USDT,2022-01-01 10:00:00,0.0000335860
ETH-USDT,2022-01-01 11:00:00,0.0000301072
ETH-USDT,2022-01-01 12:00:00,0.0000239002
ETH-USDT,2022-01-01 13:00:00,0.0000209146
ETH-USDT,2022-01-01 14:00:00,0.0000315340
ETH-USDT,2022-01-01 15:00:00,0.0000244723
ETH-USDT,2022-01-01 16:00:00,0.0000218846
ETH-USDT,2022-01-01 17:00:00,0.0000016579
ETH-USDT,2022-01-01 18:00:00,-0.0000060917
ETH-USDT,2022-01-01 19:00:00,-0.0000056411
ETH-USDT,2022-01-01 20:00:00,-0.0000016320
ETH-USDT,2022-01-01 21:00:00,0.0000215306
ETH-USDT,2022-01-01 22:00:00,-0.0000053954
ETH-USDT,2022-01-01 23:00:00,0.0000066921
ETH-USDT,2022-01-02 00:00:00,-0.0000017209
ETH-USDT,2022-01-02 01:00:00,-0.0000180385
ETH-USDT,2022-01-02 02:00:00,-0.0000055971
ETH-USDT,2022-01-02 03:00:00,0.0000110922
ETH-USDT,2022-01-02 04:00:00,0.0000093968
ETH-USDT,2022-01-02 05:00:00,0.0000234971
ETH-USDT,2022-01-02 06:00:00,0.0000011091
ETH-USDT,2022-01-02 07:00:00,0.0000078501
ETH-USDT,2022-01-02 08:00:00,0.0000150931
ETH-USDT,2022-01-02 09:00:00,0.0000088204
ETH-USDT,2022-01-02 10:00:00,0.0000188387
ETH-USDT,2022-01-02 11:00:00,0.0000189459
ETH-USDT,2022-01-02 12:00:00,0.0000281725
ETH-USDT,2022-01-02 13:00:00,0.0000285734
ETH-USDT,2022-01-02 14:00:00,0.0000037259
