Symbol,Date,Funding Rate
ETH-USDT,2020-01-01 00:00:00,0.0001
ETH-USDT,2020-01-01 08:00:00,0.0001
ETH-USDT,2020-01-01 16:00:00,-0.000191
ETH-USDT,2020-01-02 00:00:00,-0.000239
ETH-USDT,2020-01-02 08:00:00,-0.000249
ETH-USDT,2020-01-02 16:00:00,0.0001
ETH-USDT,2020-01-03 00:00:00,0.0001
ETH-USDT,2020-01-03 08:00:00,0.0001
ETH-USDT,2020-01-03 16:00:00,0.0001
ETH-USDT,2020-01-04 00:00:00,0.0001
ETH-USDT,2020-01-04 08:00:00,0.0001
ETH-USDT,2020-01-04 16:00:00,-2.7e-05
ETH-USDT,2020-01-05 00:00:00,0.0001
ETH-USDT,2020-01-05 08:00:00,0.0001
ETH-USDT,2020-01-05 16:00:00,0.0001
ETH-USDT,2020-01-06 00:00:00,0.0001
ETH-USDT,2020-01-06 08:00:00,0.0001
ETH-USDT,2020-01-06 16:00:00,0.0001
ETH-USDT,2020-01-07 00:00:00,-0.000301
ETH-USDT,2020-01-07 08:00:00,0.0001
ETH-USDT,2020-01-07 16:00:00,0.0001
ETH-USDT,2020-01-08 00:00:00,0.0001
ETH-USDT,2020-01-08 08:00:00,0.0001
ETH-USDT,2020-01-08 16:00:00,0.0001
ETH-USDT,2020-01-09 00:00:00,0.0001
ETH-USDT,2020-01-09 08:00:00,0.0001
ETH-USDT,2020-01-09 16:00:00,0.0001
ETH-USDT,2020-01-10 00:00:00,0.0001
ETH-USDT,2020-01-10 08:00:00,0.0001
ETH-USDT,2020-01-10 16:00:00,0.0001
ETH-USDT,2020-01-11 00:00:00,0.0001
ETH-USDT,2020-01-11 08:00:00,0.0001
ETH-USDT,2020-01-11 16:00:00,0.0001
ETH-USDT,2020-01-12 00:00:00,0.0001
ETH-USDT,2020-01-12 08:00:00,0.0001
ETH-USDT,2020-01-12 16:00:00,0.0001
ETH-USDT,2020-01-13 00:00:00,0.0001
ETH-USDT,2020-01-13 08:00:00,0.0001
ETH-USDT,2020-01-13 16:00:00,0.0001
ETH-USDT,2020-01-14 00:00:00,0.0001
ETH-USDT,2020-01-14 08:00:00,0.0001
ETH-USDT,2020-01-14 16:00:00,0.0001
ETH-USDT,2020-01-15 00:00:00,0.0001
ETH-USDT,2020-01-15 08:00:00,0.0001
ETH-USDT,2020-01-15 16:00:00,0.0001
ETH-USDT,2020-01-16 00:00:00,0.0001
ETH-USDT,2020-01-16 08:00:00,0.0001
ETH-USDT,2020-01-16 16:00:00,0.0001
ETH-USDT,2020-01-17 00:00:00,0.0001
ETH-USDT,2020-01-17 08:00:00,0.000147
ETH-USDT,2020-01-17 16:00:00,0.0001
ETH-USDT,2020-01-18 00:00:00,0.000106
ETH-USDT,2020-01-18 08:00:00,0.0001
ETH-USDT,2020-01-18 16:00:00,0.0001
ETH-USDT,2020-01-19 00:00:00,0.0001
ETH-USDT,2020-01-19 08:00:00,0.0001
ETH-USDT,2020-01-19 16:00:00,0.000104
ETH-USDT,2020-01-20 00:00:00,0.000742
ETH-USDT,2020-01-20 08:00:00,0.000574
ETH-USDT,2020-01-20 16:00:00,0.00058
ETH-USDT,2020-01-21 00:00:00,0.000224
ETH-USDT,2020-01-21 08:00:00,0.0001
ETH-USDT,2020-01-21 16:00:00,0.0001
ETH-USDT,2020-01-22 00:00:00,0.0001
ETH-USDT,2020-01-22 08:00:00,0.0001
ETH-USDT,2020-01-22 16:00:00,0.0001
ETH-USDT,2020-01-23 00:00:00,0.0001
ETH-USDT,2020-01-23 08:00:00,0.000313
ETH-USDT,2020-01-23 16:00:00,0.000637
ETH-USDT,2020-01-24 00:00:00,0.000298
ETH-USDT,2020-01-24 08:00:00,0.000768
ETH-USDT,2020-01-24 16:00:00,0.000199
ETH-USDT,2020-01-25 00:00:00,0.000542
ETH-USDT,2020-01-25 08:00:00,0.000178
ETH-USDT,2020-01-25 16:00:00,0.000321
ETH-USDT,2020-01-26 00:00:00,0.000482
ETH-USDT,2020-01-26 08:00:00,0.0001
ETH-USDT,2020-01-26 16:00:00,0.0001
ETH-USDT,2020-01-27 00:00:00,0.0001
ETH-USDT,2020-01-27 08:00:00,0.0001
ETH-USDT,2020-01-27 16:00:00,0.0001
ETH-USDT,2020-01-28 00:00:00,0.0001
ETH-USDT,2020-01-28 08:00:00,0.0001
ETH-USDT,2020-01-28 16:00:00,0.0001
ETH-USDT,2020-01-29 00:00:00,0.000728
ETH-USDT,2020-01-29 08:00:00,0.000171
ETH-USDT,2020-01-29 16:00:00,0.0001
ETH-USDT,2020-01-30 00:00:00,0.000665
ETH-USDT,2020-01-30 08:00:00,0.000476
ETH-USDT,2020-01-30 16:00:00,0.000612
ETH-USDT,2020-01-31 00:00:00,0.00047
ETH-USDT,2020-01-31 08:00:00,0.000164
ETH-USDT,2020-01-31 16:00:00,0.0001
ETH-USDT,2020-02-01 00:00:00,0.000406
ETH-USDT,2020-02-01 08:00:00,0.000988
ETH-USDT,2020-02-01 16:00:00,0.0001
ETH-USDT,2020-02-02 00:00:00,0.000304
ETH-USDT,2020-02-02 08:00:00,0.0001
ETH-USDT,2020-02-02 16:00:00,0.0001
ETH-USDT,2020-02-03 00:00:00,0.0001
ETH-USDT,2020-02-03 08:00:00,0.0001
ETH-USDT,2020-02-03 16:00:00,0.000257
ETH-USDT,2020-02-04 00:00:00,0.000588
ETH-USDT,2020-02-04 08:00:00,0.000244
ETH-USDT,2020-02-04 16:00:00,0.000849
ETH-USDT,2020-02-05 00:00:00,0.001372
ETH-USDT,2020-02-05 08:00:00,0.0001
ETH-USDT,2020-02-05 16:00:00,0.0001
ETH-USDT,2020-02-06 00:00:00,0.000182
ETH-USDT,2020-02-06 08:00:00,0.000295
ETH-USDT,2020-02-06 16:00:00,0.0001
ETH-USDT,2020-02-07 00:00:00,0.0001
ETH-USDT,2020-02-07 08:00:00,0.0001
ETH-USDT,2020-02-07 16:00:00,0.0001
ETH-USDT,2020-02-08 00:00:00,0.0001
ETH-USDT,2020-02-08 08:00:00,0.000214
ETH-USDT,2020-02-08 16:00:00,0.0006
ETH-USDT,2020-02-09 00:00:00,0.000105
ETH-USDT,2020-02-09 08:00:00,0.001548
ETH-USDT,2020-02-09 16:00:00,0.000348
ETH-USDT,2020-02-10 00:00:00,0.001372
ETH-USDT,2020-02-10 08:00:00,0.000482
ETH-USDT,2020-02-10 16:00:00,0.001257
ETH-USDT,2020-02-11 00:00:00,0.002027
ETH-USDT,2020-02-11 08:00:00,0.000218
ETH-USDT,2020-02-11 16:00:00,0.001526
ETH-USDT,2020-02-12 00:00:00,0.0001
ETH-USDT,2020-02-12 08:00:00,0.002556
ETH-USDT,2020-02-12 16:00:00,0.001789
ETH-USDT,2020-02-13 00:00:00,0.000133
ETH-USDT,2020-02-13 08:00:00,0.001518
ETH-USDT,2020-02-13 16:00:00,0.000652
ETH-USDT,2020-02-14 00:00:00,0.001881
ETH-USDT,2020-02-14 08:00:00,0.001707
ETH-USDT,2020-02-14 16:00:00,0.002458
ETH-USDT,2020-02-15 00:00:00,0.00131
ETH-USDT,2020-02-15 08:00:00,0.0001
ETH-USDT,2020-02-15 16:00:00,0.001524
ETH-USDT,2020-02-16 00:00:00,0.000612
ETH-USDT,2020-02-16 08:00:00,0.002199
ETH-USDT,2020-02-16 16:00:00,0.000346
