Symbol,Date,Funding Rate
ETH-USDT,2021-01-01 07:00:00,0.000404
ETH-USDT,2021-01-01 15:00:00,0.000615
ETH-USDT,2021-01-01 23:00:00,0.000491
ETH-USDT,2021-01-02 07:00:00,0.0001
ETH-USDT,2021-01-02 15:00:00,0.000487
ETH-USDT,2021-01-02 23:00:00,0.0001
ETH-USDT,2021-01-03 07:00:00,0.0001
ETH-USDT,2021-01-03 15:00:00,0.000774
ETH-USDT,2021-01-03 23:00:00,0.002388
ETH-USDT,2021-01-04 07:00:00,0.001826
ETH-USDT,2021-01-04 15:00:00,0.003409
ETH-USDT,2021-01-04 23:00:00,0.0001
ETH-USDT,2021-01-05 07:00:00,0.002019
ETH-USDT,2021-01-05 15:00:00,0.0001
ETH-USDT,2021-01-05 23:00:00,0.001645
ETH-USDT,2021-01-06 07:00:00,0.00127
ETH-USDT,2021-01-06 15:00:00,0.00334
ETH-USDT,2021-01-06 23:00:00,0.002093
ETH-USDT,2021-01-07 07:00:00,0.001994
ETH-USDT,2021-01-07 15:00:00,0.002002
ETH-USDT,2021-01-07 23:00:00,0.002676
ETH-USDT,2021-01-08 07:00:00,0.001912
ETH-USDT,2021-01-08 15:00:00,0.001538
ETH-USDT,2021-01-08 23:00:00,0.000922
ETH-USDT,2021-01-09 07:00:00,0.000975
ETH-USDT,2021-01-09 15:00:00,0.000791
ETH-USDT,2021-01-09 23:00:00,0.001307
ETH-USDT,2021-01-10 07:00:00,0.003512
ETH-USDT,2021-01-10 15:00:00,0.000785
ETH-USDT,2021-01-10 23:00:00,0.001174
ETH-USDT,2021-01-11 07:00:00,0.001891
ETH-USDT,2021-01-11 15:00:00,0.0001
ETH-USDT,2021-01-11 23:00:00,0.000296
ETH-USDT,2021-01-12 07:00:00,0.0001
ETH-USDT,2021-01-12 15:00:00,0.000238
ETH-USDT,2021-01-12 23:00:00,0.0001
ETH-USDT,2021-01-13 07:00:00,0.0001
ETH-USDT,2021-01-13 15:00:00,0.0001
ETH-USDT,2021-01-13 23:00:00,0.000247
ETH-USDT,2021-01-14 07:00:00,0.000456
ETH-USDT,2021-01-14 15:00:00,0.000335
ETH-USDT,2021-01-14 23:00:00,0.0001
ETH-USDT,2021-01-15 07:00:00,0.000444
ETH-USDT,2021-01-15 15:00:00,0.0001
ETH-USDT,2021-01-15 23:00:00,0.000295
ETH-USDT,2021-01-16 07:00:00,0.0001
ETH-USDT,2021-01-16 15:00:00,0.000527
ETH-USDT,2021-01-16 23:00:00,0.001422
ETH-USDT,2021-01-17 07:00:00,0.000462
ETH-USDT,2021-01-17 15:00:00,0.0001
ETH-USDT,2021-01-17 23:00:00,0.000841
ETH-USDT,2021-01-18 07:00:00,0.000734
ETH-USDT,2021-01-18 15:00:00,0.0001
ETH-USDT,2021-01-18 23:00:00,0.00103
ETH-USDT,2021-01-19 07:00:00,0.001876
ETH-USDT,2021-01-19 15:00:00,0.002239
ETH-USDT,2021-01-19 23:00:00,0.001102
ETH-USDT,2021-01-20 07:00:00,0.000825
ETH-USDT,2021-01-20 15:00:00,0.000455
ETH-USDT,2021-01-20 23:00:00,0.000166
ETH-USDT,2021-01-21 07:00:00,0.000711
ETH-USDT,2021-01-21 15:00:00,0.000202
ETH-USDT,2021-01-21 23:00:00,0.00055
ETH-USDT,2021-01-22 07:00:00,0.0001
ETH-USDT,2021-01-22 15:00:00,0.000227
ETH-USDT,2021-01-22 23:00:00,0.0001
ETH-USDT,2021-01-23 07:00:00,0.00021
ETH-USDT,2021-01-23 15:00:00,0.000242
ETH-USDT,2021-01-23 23:00:00,0.000471
ETH-USDT,2021-01-24 07:00:00,0.000708
ETH-USDT,2021-01-24 15:00:00,0.000412
ETH-USDT,2021-01-24 23:00:00,0.001126
ETH-USDT,2021-01-25 07:00:00,0.001326
ETH-USDT,2021-01-25 15:00:00,0.001139
ETH-USDT,2021-01-25 23:00:00,0.000759
ETH-USDT,2021-01-26 07:00:00,0.0001
ETH-USDT,2021-01-26 15:00:00,0.000439
ETH-USDT,2021-01-26 23:00:00,0.0001
ETH-USDT,2021-01-27 07:00:00,0.000895
ETH-USDT,2021-01-27 15:00:00,0.0001
ETH-USDT,2021-01-27 23:00:00,0.0001
ETH-USDT,2021-01-28 07:00:00,0.0001
ETH-USDT,2021-01-28 15:00:00,0.0001
ETH-USDT,2021-01-28 23:00:00,0.001165
ETH-USDT,2021-01-29 07:00:00,0.000773
ETH-USDT,2021-01-29 15:00:00,0.001006
ETH-USDT,2021-01-29 23:00:00,0.001394
ETH-USDT,2021-01-30 07:00:00,0.000342
ETH-USDT,2021-01-30 15:00:00,0.000106
ETH-USDT,2021-01-30 23:00:00,0.001025
ETH-USDT,2021-01-31 07:00:00,0.000976
ETH-USDT,2021-01-31 15:00:00,0.000742
ETH-USDT,2021-01-31 23:00:00,0.000132
ETH-USDT,2021-02-01 07:00:00,0.0001
ETH-USDT,2021-02-01 15:00:00,0.00045
ETH-USDT,2021-02-01 23:00:00,0.000183
ETH-USDT,2021-02-02 07:00:00,0.001211
ETH-USDT,2021-02-02 15:00:00,0.001509
ETH-USDT,2021-02-02 23:00:00,0.001358
ETH-USDT,2021-02-03 07:00:00,0.001175
ETH-USDT,2021-02-03 15:00:00,0.001329
ETH-USDT,2021-02-03 23:00:00,0.001143
ETH-USDT,2021-02-04 07:00:00,0.00159
ETH-USDT,2021-02-04 15:00:00,0.000875
ETH-USDT,2021-02-04 23:00:00,0.001332
ETH-USDT,2021-02-05 07:00:00,0.000697
ETH-USDT,2021-02-05 15:00:00,0.001713
ETH-USDT,2021-02-05 23:00:00,0.001003
ETH-USDT,2021-02-06 07:00:00,0.000829
ETH-USDT,2021-02-06 15:00:00,0.001021
ETH-USDT,2021-02-06 23:00:00,0.001039
ETH-USDT,2021-02-07 07:00:00,0.001011
ETH-USDT,2021-02-07 15:00:00,0.0001
ETH-USDT,2021-02-07 23:00:00,0.000262
ETH-USDT,2021-02-08 07:00:00,0.000359
ETH-USDT,2021-02-08 15:00:00,0.000832
ETH-USDT,2021-02-08 23:00:00,0.00375
ETH-USDT,2021-02-09 07:00:00,0.001983
ETH-USDT,2021-02-09 15:00:00,0.002234
ETH-USDT,2021-02-09 23:00:00,0.001006
ETH-USDT,2021-02-10 07:00:00,0.002033
ETH-USDT,2021-02-10 15:00:00,0.002123
ETH-USDT,2021-02-10 23:00:00,0.000365
ETH-USDT,2021-02-11 07:00:00,0.000809
ETH-USDT,2021-02-11 15:00:00,0.000631
ETH-USDT,2021-02-11 23:00:00,0.001609
ETH-USDT,2021-02-12 07:00:00,0.000989
ETH-USDT,2021-02-12 15:00:00,0.000728
ETH-USDT,2021-02-12 23:00:00,0.002492
ETH-USDT,2021-02-13 07:00:00,0.002439
ETH-USDT,2021-02-13 15:00:00,0.00085
ETH-USDT,2021-02-13 23:00:00,0.001252
