Symbol,Date,Funding Rate
ETH-USDT,2021-01-01 03:00:00,0.0002
ETH-USDT,2021-01-01 11:00:00,0.0003
ETH-USDT,2021-01-01 19:00:00,0.000216
ETH-USDT,2021-01-02 03:00:00,0.000143
ETH-USDT,2021-01-02 11:00:00,0.000208
ETH-USDT,2021-01-02 19:00:00,0.000232
ETH-USDT,2021-01-03 03:00:00,0.000126
ETH-USDT,2021-01-03 11:00:00,0.000253
ETH-USDT,2021-01-03 19:00:00,0.000361
ETH-USDT,2021-01-04 03:00:00,2.2e-05
ETH-USDT,2021-01-04 11:00:00,0.000577
ETH-USDT,2021-01-04 19:00:00,0.000213
ETH-USDT,2021-01-05 03:00:00,9.2e-05
ETH-USDT,2021-01-05 11:00:00,0.00022
ETH-USDT,2021-01-05 19:00:00,0.000134
ETH-USDT,2021-01-06 03:00:00,0.000278
ETH-USDT,2021-01-06 11:00:00,0.000144
ETH-USDT,2021-01-06 19:00:00,0.000266
ETH-USDT,2021-01-07 03:00:00,0.000206
ETH-USDT,2021-01-07 11:00:00,4.4e-05
ETH-USDT,2021-01-07 19:00:00,-3.9e-05
ETH-USDT,2021-01-08 03:00:00,0.000163
ETH-USDT,2021-01-08 11:00:00,0.000287
ETH-USDT,2021-01-08 19:00:00,6.2e-05
ETH-USDT,2021-01-09 03:00:00,9.7e-05
ETH-USDT,2021-01-09 11:00:00,0.000107
ETH-USDT,2021-01-09 19:00:00,-0.000111
ETH-USDT,2021-01-10 03:00:00,0.000317
ETH-USDT,2021-01-10 11:00:00,0.000352
ETH-USDT,2021-01-10 19:00:00,9.8e-05
ETH-USDT,2021-01-11 03:00:00,-4.6e-05
ETH-USDT,2021-01-11 11:00:00,0.000103
ETH-USDT,2021-01-11 19:00:00,0.000211
ETH-USDT,2021-01-12 03:00:00,0.000226
ETH-USDT,2021-01-12 11:00:00,0.000216
ETH-USDT,2021-01-12 19:00:00,0.000194
ETH-USDT,2021-01-13 03:00:00,0.000136
ETH-USDT,2021-01-13 11:00:00,0.000155
ETH-USDT,2021-01-13 19:00:00,0.000167
ETH-USDT,2021-01-14 03:00:00,0.000187
ETH-USDT,2021-01-14 11:00:00,0.00036
ETH-USDT,2021-01-14 19:00:00,0.000171
ETH-USDT,2021-01-15 03:00:00,8.3e-05
ETH-USDT,2021-01-15 11:00:00,0.000259
ETH-USDT,2021-01-15 19:00:00,-5.1e-05
ETH-USDT,2021-01-16 03:00:00,0.00021
ETH-USDT,2021-01-16 11:00:00,0.000163
ETH-USDT,2021-01-16 19:00:00,0.000945
ETH-USDT,2021-01-17 03:00:00,4.8e-05
ETH-USDT,2021-01-17 11:00:00,7.4e-05
ETH-USDT,2021-01-17 19:00:00,0.000119
ETH-USDT,2021-01-18 03:00:00,0.000142
ETH-USDT,2021-01-18 11:00:00,0.000149
ETH-USDT,2021-01-18 19:00:00,0.000161
ETH-USDT,2021-01-19 03:00:00,0.000284
ETH-USDT,2021-01-19 11:00:00,0.001
ETH-USDT,2021-01-19 19:00:00,0.000123
ETH-USDT,2021-01-20 03:00:00,0.000174
ETH-USDT,2021-01-20 11:00:00,0.000202
ETH-USDT,2021-01-20 19:00:00,0.00012
ETH-USDT,2021-01-21 03:00:00,0.000298
ETH-USDT,2021-01-21 11:00:00,0.000136
ETH-USDT,2021-01-21 19:00:00,6.1e-05
ETH-USDT,2021-01-22 03:00:00,6.2e-05
ETH-USDT,2021-01-22 11:00:00,0.000103
ETH-USDT,2021-01-22 19:00:00,0.000164
ETH-USDT,2021-01-23 03:00:00,0.00014
ETH-USDT,2021-01-23 11:00:00,0.000149
ETH-USDT,2021-01-23 19:00:00,8.4e-05
ETH-USDT,2021-01-24 03:00:00,0.000101
ETH-USDT,2021-01-24 11:00:00,0.000158
ETH-USDT,2021-01-24 19:00:00,7.6e-05
ETH-USDT,2021-01-25 03:00:00,0.000266
ETH-USDT,2021-01-25 11:00:00,0.000178
ETH-USDT,2021-01-25 19:00:00,0.000177
ETH-USDT,2021-01-26 03:00:00,-1.6e-05
ETH-USDT,2021-01-26 11:00:00,0.000173
ETH-USDT,2021-01-26 19:00:00,0.000174
ETH-USDT,2021-01-27 03:00:00,0.000151
ETH-USDT,2021-01-27 11:00:00,0.000124
ETH-USDT,2021-01-27 19:00:00,-4.1e-05
ETH-USDT,2021-01-28 03:00:00,0.000164
ETH-USDT,2021-01-28 11:00:00,0.000139
ETH-USDT,2021-01-28 19:00:00,0.000119
ETH-USDT,2021-01-29 03:00:00,9.6e-05
ETH-USDT,2021-01-29 11:00:00,0.000171
ETH-USDT,2021-01-29 19:00:00,9.9e-05
ETH-USDT,2021-01-30 03:00:00,0.00019
ETH-USDT,2021-01-30 11:00:00,0.000104
ETH-USDT,2021-01-30 19:00:00,0.000115
ETH-USDT,2021-01-31 03:00:00,0.000142
ETH-USDT,2021-01-31 11:00:00,0.000121
ETH-USDT,2021-01-31 19:00:00,-2.1e-05
ETH-USDT,2021-02-01 03:00:00,2.8e-05
ETH-USDT,2021-02-01 11:00:00,0.000132
ETH-USDT,2021-02-01 19:00:00,0.000218
ETH-USDT,2021-02-02 03:00:00,0.000303
ETH-USDT,2021-02-02 11:00:00,0.000356
ETH-USDT,2021-02-02 19:00:00,0.00017
ETH-USDT,2021-02-03 03:00:00,6.2e-05
ETH-USDT,2021-02-03 11:00:00,8.2e-05
ETH-USDT,2021-02-03 19:00:00,0.000118
ETH-USDT,2021-02-04 03:00:00,0.000307
ETH-USDT,2021-02-04 11:00:00,0.00035
ETH-USDT,2021-02-04 19:00:00,3.7e-05
ETH-USDT,2021-02-05 03:00:00,8.7e-05
ETH-USDT,2021-02-05 11:00:00,0.000235
ETH-USDT,2021-02-05 19:00:00,0.000253
ETH-USDT,2021-02-06 03:00:00,0.000101
ETH-USDT,2021-02-06 11:00:00,0.000277
ETH-USDT,2021-02-06 19:00:00,-6.5e-05
ETH-USDT,2021-02-07 03:00:00,9.3e-05
ETH-USDT,2021-02-07 11:00:00,0.000262
ETH-USDT,2021-02-07 19:00:00,1.4e-05
ETH-USDT,2021-02-08 03:00:00,9.3e-05
ETH-USDT,2021-02-08 11:00:00,0.000264
ETH-USDT,2021-02-08 19:00:00,0.000472
ETH-USDT,2021-02-09 03:00:00,-6.5e-05
ETH-USDT,2021-02-09 11:00:00,0.000224
ETH-USDT,2021-02-09 19:00:00,0.000118
ETH-USDT,2021-02-10 03:00:00,0.000141
ETH-USDT,2021-02-10 11:00:00,0.000305
ETH-USDT,2021-02-10 19:00:00,-2.7e-05
ETH-USDT,2021-02-11 03:00:00,0.0
ETH-USDT,2021-02-11 11:00:00,0.000139
ETH-USDT,2021-02-11 19:00:00,0.000138
ETH-USDT,2021-02-12 03:00:00,-1.4e-05
ETH-USDT,2021-02-12 11:00:00,-4.2e-05
ETH-USDT,2021-02-12 19:00:00,0.000127
ETH-USDT,2021-02-13 03:00:00,0.000154
ETH-USDT,2021-02-13 11:00:00,6e-06
ETH-USDT,2021-02-13 19:00:00,0.000113
ETH-USDT,2021-02-14 03:00:00,7.5e-05
ETH-USDT,2021-02-14 11:00:00,0.000111
ETH-USDT,2021-02-14 19:00:00,-1.6e-05
ETH-USDT,2021-02-15 03:00:00,-8e-05
ETH-USDT,2021-02-15 11:00:00,0.000136
ETH-USDT,2021-02-15 19:00:00,7.7e-05
ETH-USDT,2021-02-16 03:00:00,8.3e-05
ETH-USDT,2021-02-16 11:00:00,9e-05
ETH-USDT,2021-02-16 19:00:00,5.8e-05
ETH-USDT,2021-02-17 03:00:00,7.1e-05
ETH-USDT,2021-02-17 11:00:00,0.000246
ETH-USDT,2021-02-17 19:00:00,0.000196
ETH-USDT,2021-02-18 03:00:00,0.000152
ETH-USDT,2021-02-18 11:00:00,0.000169
ETH-USDT,2021-02-18 19:00:00,7.4e-05
ETH-USDT,2021-02-19 03:00:00,8.9e-05
ETH-USDT,2021-02-19 11:00:00,0.000191
ETH-USDT,2021-02-19 19:00:00,0.000132
ETH-USDT,2021-02-20 03:00:00,3.6e-05
ETH-USDT,2021-02-20 11:00:00,0.00019
ETH-USDT,2021-02-20 19:00:00,8e-05
ETH-USDT,2021-02-21 03:00:00,-5.7e-05
ETH-USDT,2021-02-21 11:00:00,-0.000305
ETH-USDT,2021-02-21 19:00:00,9.4e-05
ETH-USDT,2021-02-22 03:00:00,4.6e-05
ETH-USDT,2021-02-22 11:00:00,2.6e-05
ETH-USDT,2021-02-22 19:00:00,0.0001
ETH-USDT,2021-02-23 03:00:00,1.3e-05
ETH-USDT,2021-02-23 11:00:00,-3e-06
ETH-USDT,2021-02-23 19:00:00,8.5e-05
ETH-USDT,2021-02-24 03:00:00,0.000117
ETH-USDT,2021-02-24 11:00:00,0.000196
ETH-USDT,2021-02-24 19:00:00,8.2e-05
ETH-USDT,2021-02-25 03:00:00,6e-05
ETH-USDT,2021-02-25 11:00:00,5.5e-05
ETH-USDT,2021-02-25 19:00:00,0.000161
ETH-USDT,2021-02-26 03:00:00,0.0
ETH-USDT,2021-02-26 11:00:00,-0.000427
ETH-USDT,2021-02-26 19:00:00,0.000123
ETH-USDT,2021-02-27 03:00:00,-2.3e-05
ETH-USDT,2021-02-27 11:00:00,0.000111
ETH-USDT,2021-02-27 19:00:00,0.000127
ETH-USDT,2021-02-28 03:00:00,9e-05
ETH-USDT,2021-02-28 11:00:00,0.000144
ETH-USDT,2021-02-28 19:00:00,0.000189
ETH-USDT,2021-03-01 03:00:00,0.000192
ETH-USDT,2021-03-01 11:00:00,0.000165
ETH-USDT,2021-03-01 19:00:00,9.5e-05
ETH-USDT,2021-03-02 03:00:00,7.3e-05
ETH-USDT,2021-03-02 11:00:00,9.3e-05
ETH-USDT,2021-03-02 19:00:00,8.5e-05
ETH-USDT,2021-03-03 03:00:00,7e-06
ETH-USDT,2021-03-03 11:00:00,0.000166
ETH-USDT,2021-03-03 19:00:00,0.000183
ETH-USDT,2021-03-04 03:00:00,5.4e-05
ETH-USDT,2021-03-04 11:00:00,5.5e-05
ETH-USDT,2021-03-04 19:00:00,0.000147
ETH-USDT,2021-03-05 03:00:00,5.5e-05
ETH-USDT,2021-03-05 11:00:00,4.9e-05
ETH-USDT,2021-03-05 19:00:00,0.000125
ETH-USDT,2021-03-06 03:00:00,0.000148
ETH-USDT,2021-03-06 11:00:00,0.000268
ETH-USDT,2021-03-06 19:00:00,0.000136
ETH-USDT,2021-03-07 03:00:00,0.000242
ETH-USDT,2021-03-07 11:00:00,0.000229
ETH-USDT,2021-03-07 19:00:00,-3.5e-05
ETH-USDT,2021-03-08 03:00:00,0.000245
ETH-USDT,2021-03-08 11:00:00,0.000158
ETH-USDT,2021-03-08 19:00:00,0.000107
ETH-USDT,2021-03-09 03:00:00,0.000158
ETH-USDT,2021-03-09 11:00:00,5e-05
ETH-USDT,2021-03-09 19:00:00,0.000103
ETH-USDT,2021-03-10 03:00:00,4.6e-05
ETH-USDT,2021-03-10 11:00:00,0.000117
ETH-USDT,2021-03-10 19:00:00,6.1e-05
ETH-USDT,2021-03-11 03:00:00,4.9e-05
ETH-USDT,2021-03-11 11:00:00,7.6e-05
ETH-USDT,2021-03-11 19:00:00,0.0008
ETH-USDT,2021-03-12 03:00:00,0.0015
ETH-USDT,2021-03-12 11:00:00,0.0008
ETH-USDT,2021-03-12 19:00:00,0.0004
ETH-USDT,2021-03-13 03:00:00,0.0004
ETH-USDT,2021-03-13 11:00:00,0.0004
ETH-USDT,2021-03-13 19:00:00,0.0016
ETH-USDT,2021-03-14 03:00:00,0.0012
ETH-USDT,2021-03-14 11:00:00,6.7e-05
ETH-USDT,2021-03-14 19:00:00,0.0012
ETH-USDT,2021-03-15 03:00:00,0.0008
ETH-USDT,2021-03-15 11:00:00,0.001
ETH-USDT,2021-03-15 19:00:00,0.0002
ETH-USDT,2021-03-16 03:00:00,0.0002
ETH-USDT,2021-03-16 11:00:00,0.0006
ETH-USDT,2021-03-16 19:00:00,0.0005
